Delta_V_H,HII_T,QHI,R_H,dNLLdz,gamma_PI_H,global_T,mfp_H,redshift
59.21,12904.387599575837,0.285084510250838,4.682116550071934,6.8341214757052215,0.28373513812256496,2516.0718211358303,6.399310086024001e+24,9.0
59.21,12924.961756599954,0.3138168378695392,4.68467480823587,6.747611785295702,0.29400764433475607,2772.9219079029863,6.816642344875626e+24,8.8
59.21,12943.007870965475,0.3449575134963054,4.687331362546398,6.668312603104216,0.3035404799215887,3051.1052534061587,7.262048337603444e+24,8.599999999999998
59.21,12958.335643444485,0.37866548270116135,4.690107627177617,6.596685164889316,0.31220443117941465,3351.8773032375434,7.736995269341318e+24,8.399999999999999
59.21,12970.760134008622,0.4151023820687257,4.69301335092812,6.532618207245849,0.3198942167884895,3676.483851176034,8.243702075754981e+24,8.2
59.21,12980.10569500133,0.45443785628436983,4.69605973881573,6.4760446547301935,0.3265112856543662,4026.2030086699474,8.784578685010172e+24,8.0
59.21,12986.218119321735,0.4968503494601154,4.69925864628076,6.426917805076924,0.3319666688189697,4402.356465318469,9.362280039920773e+24,7.800000000000001
59.21,12988.983419012771,0.5425286239159925,4.702622398150952,6.385209425166785,0.3361830555836558,4806.335370936159,9.979744441657979e+24,7.599999999999998
59.21,12988.357061576975,0.5916740435732554,4.706163653627914,6.350904953230146,0.33909683503949467,5239.64786460021,1.0640244544357021e+25,7.399999999999999
59.21,12984.407073280443,0.6445040121469052,4.7098952777142005,6.323995704111398,0.3406602320747045,5704.001218515518,1.1347455216209742e+25,7.199999999999999
59.21,12977.380270558524,0.7012572847807775,4.71383011228386,6.304466826083982,0.34084369619179056,6201.4440483412545,1.2105545684244178e+25,7.0
59.21,12967.798353644657,0.7622019401089578,4.717980448764279,6.292277759156685,0.33963831259114496,6734.603272865476,1.2919309903097208e+25,6.800000000000001
59.21,12956.59610393269,0.8276473545059898,4.722356978601973,6.287332900807208,0.33705840112197133,7307.076994343836,1.3794352255636753e+25,6.599999999999998
59.21,12945.321824062055,0.8979622785338184,4.72696686328256,6.289437871650443,0.33314435920081314,7924.090922592295,1.4737356645541157e+25,6.399999999999999
59.21,12936.408634792517,0.9736021549890793,4.731810349057807,6.298234012151544,0.3279670542660298,8593.57897446894,1.5756484078591028e+25,6.199999999999999
59.21,12933.592558221371,1.0,4.73690347904433,6.313105252431339,0.3216325213379282,8845.9118431685,1.6861957139175973e+25,6.0
95.15795358646348,12941.978659590803,1.0,6.965638800142209,6.447409938105543,0.3102618900919728,9270.202627204342,1.7746457009763443e+25,5.799999999999997
126.76367910665807,13542.89312237897,1.0,8.794613928467893,4.550499477249729,0.4327348970582875,9979.022056733238,2.70836801587285e+25,5.599999999999998
157.93224911356157,14517.874987253535,1.0,10.516790024126161,3.7324020662589077,0.5146866899281756,10950.381940461053,3.5647354617337064e+25,5.399999999999999
194.10724873609564,15766.521639684566,1.0,12.436215815709907,3.229437371994205,0.5775806132780597,12189.649060401225,4.458382825995382e+25,5.199999999999999
239.5916300980066,17293.945909314865,1.0,14.753618152929707,2.8231834016623685,0.6397664775187355,13745.489633639427,5.532979875486466e+25,5.0
294.44403449487237,19067.62371376735,1.0,17.438064288662794,2.4573544993695395,0.7081063136681424,15561.727380635983,6.915157128725747e+25,4.799999999999997
363.8398628898532,21132.21763464105,1.0,20.700870459919162,2.1465574039750934,0.7798083643949215,17696.165381336767,8.636865146105426e+25,4.599999999999998
453.24136123115636,23578.909824609007,1.0,24.733101044280076,1.866479288972372,0.8618538931218812,20212.88667335189,1.0870480890377928e+26,4.399999999999999
569.3016999766319,26522.263376511564,1.0,29.746439793991097,1.611601294925411,0.9586251643693566,23146.504013676986,1.382383768946407e+26,4.199999999999999
719.8222330361883,30088.66309058493,1.0,35.96633851354179,1.38127908495768,1.073933521658633,26449.44161034771,1.7773254416049626e+26,4.0
912.7669435230941,34399.2273025093,1.0,43.592766997531626,1.17667929607165,1.2106860808638042,29909.07482823303,2.3079101985947622e+26,3.799999999999997
1154.0032745467065,39541.991709016045,1.0,52.72946222433197,0.9995121760348181,1.3693646942818967,33032.22519824332,3.017977817045558e+26,3.599999999999998
1443.6907597879288,45534.694790892754,1.0,63.29218577170351,0.8510681737674674,1.5456330969282213,34914.48198450084,3.95469268549175e+26,3.3999999999999986
1771.7271080580329,52286.04088458217,1.0,74.91996348251112,0.7315720926466915,1.7275081824048424,36464.163590483164,5.158265040635359e+26,3.1999999999999993
2553.7994763997453,59571.67362148317,1.0,100.98874396833111,0.6401872975026204,1.8931711279778283,37192.7543169858,6.644053214478239e+26,3.0
3862.288699253393,69298.36932203351,1.0,141.65571773745762,0.49423180006837514,2.3418328353994595,45571.20976378041,9.756462296277537e+26,2.799999999999997
5984.540163257665,81939.45723171867,1.0,201.51545881185402,0.3688928179184199,2.9710078711462655,59322.655021966275,1.491225082362062e+27,2.599999999999998
9335.076799756162,97415.11611409954,1.0,287.6062114473036,0.2703998508715567,3.792612317749383,75353.62551970633,2.3369966655220683e+27,2.3999999999999986
997406.4947630295,115321.10948101894,1.0,304.154701298638,0.19802314895424292,4.768930972139534,101086.52300934213,3.6937432511375105e+27,2.1999999999999993
999997.467280042,126169.33712189058,1.0,303.4258315359882,0.0049666913537403,171.50431301024943,119921.7047402586,1.7189474992715265e+29,2.0
